"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"User Management API","User CRUD Operations","Create User with Duplicate Username","0","0","1","0","0"
"User Management API","User CRUD Operations","Delete User","0","0","1","0","0"
"User Management API","User CRUD Operations","Get User by Username","0","0","1","0","0"
"User Management API","User CRUD Operations","Error Handling","0","0","1","0","0"
"User Management API","User CRUD Operations","Get Users by Status","0","0","1","0","0"
"User Management API","User CRUD Operations","Get All Users","0","0","1","0","0"
"User Management API","User CRUD Operations","API Content Type Validation","0","0","1","0","0"
"User Management API","User CRUD Operations","Get User by ID","0","0","1","0","0"
"User Management API","User CRUD Operations","API Response Time Performance","0","0","1","0","0"
"User Management API","User CRUD Operations","Search Users by First Name","0","0","1","0","0"
"User Management API","User CRUD Operations","Create New User","0","0","1","0","0"
"User Management API","User CRUD Operations","Get Non-existent User","0","0","1","0","0"
"User Management API","User CRUD Operations","User Data Validation","0","0","1","0","0"
"User Management API","User CRUD Operations","Search Users by Last Name","0","0","1","0","0"
"User Management API","User CRUD Operations","Get Users Created After Date","0","0","1","0","0"
"User Management API","User CRUD Operations","Get Users by Email Domain","0","0","1","0","0"
"","","","0","0","1","0","0"
"User Management API","User CRUD Operations","User List Structure Validation","0","0","1","0","0"
"User Management API","User CRUD Operations","Get Active Users","0","0","1","0","0"
